gene,original_gene_id,ensembl_id,pathway,effect_size,raw_p_value,adjusted_p_value,gene_signal,direction,dataset_name,comparison,cell_type,evidence_tier_of_parent_pathway,parent_pathway_overlap_count
PRDX1,PRDX1,,oxidative_stress,-0.320141475413348,1.11194223567171e-07,0.00340265443537901,0.7901674765203603,down,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte,limited pathway-level signal,4
GPX4,GPX4,,oxidative_stress,-0.2965945789497,9.45336543717143e-08,0.00289282435742883,0.7529581130578799,down,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte,limited pathway-level signal,4
SOD2,SOD2,,oxidative_stress,-0.314768303314496,2.3320183359412e-05,0.713620930981365,0.04612376131719441,down,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte,limited pathway-level signal,4
SOD2,ENSG00000112096.19,ENSG00000112096,oxidative_stress,-0.209,0.0206552659118903,0.997120482783777,0.0002617437423718646,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,15
GPX1,ENSG00000233276.8,ENSG00000233276,oxidative_stress,0.132,0.0834435841088863,0.997120482783777,0.00016531183728749342,up,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,15
HMOX1,ENSG00000100292.18,ENSG00000100292,oxidative_stress,-0.106,0.10687132467975,0.997120482783777,0.00013275041479147198,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,15
GPX4,ENSG00000167468.19,ENSG00000167468,oxidative_stress,0.068,0.428202378819008,0.997120482783777,8.516064345113298e-05,up,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,15
PRDX2,ENSG00000167815.12,ENSG00000167815,oxidative_stress,0.056,0.522499304092432,0.997120482783777,7.01322946068154e-05,up,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,15
KEAP1,ENSG00000079999.14,ENSG00000079999,oxidative_stress,-0.056,0.254566771889354,0.997120482783777,7.01322946068154e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,15
TXNRD1,ENSG00000198431.18,ENSG00000198431,oxidative_stress,-0.04,0.512628761492264,0.997120482783777,5.009449614772528e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,15
CAT,ENSG00000121691.7,ENSG00000121691,oxidative_stress,-0.038,0.659605838929932,0.997120482783777,4.7589771340339014e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,15
SOD1,ENSG00000142168.15,ENSG00000142168,oxidative_stress,-0.035,0.677179835684397,0.997120482783777,4.383268412925963e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,15
TXN,ENSG00000136810.13,ENSG00000136810,oxidative_stress,0.031,0.698879750902854,0.997120482783777,3.882323451448709e-05,up,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,15
PRDX1,ENSG00000117450.15,ENSG00000117450,oxidative_stress,-0.026,0.755961745115824,0.997120482783777,3.256142249602143e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,15
NQO1,ENSG00000181019.13,ENSG00000181019,oxidative_stress,0.022,0.316268842421854,0.997120482783777,2.7551972881248904e-05,up,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,15
GSR,ENSG00000104687.14,ENSG00000104687,oxidative_stress,0.018,0.790757022650222,0.997120482783777,2.2542523266476375e-05,up,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,15
NFE2L2,ENSG00000116044.17,ENSG00000116044,oxidative_stress,-0.017,0.806292441819046,0.997120482783777,2.1290160862783246e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,15
SRXN1,ENSG00000271303.2,ENSG00000271303,oxidative_stress,0.0,,,0.0,up,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,15
SOD1,SOD1,,oxidative_stress,-0.255670640035524,0.000120315564768508,1.0,-0.0,down,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell,limited pathway-level signal,3
GPX4,GPX4,,oxidative_stress,-0.285172469856079,0.000131144120868861,1.0,-0.0,down,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell,limited pathway-level signal,3
SESN1,SESN1,,p53_pathway,0.33597696253731,6.10487361447495e-33,1.86815237476548e-28,3.3597696253731,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),B Cell,gene-level signal only,1
SESN1,SESN1,,p53_pathway,0.26080239857143,1.70199352627564e-08,0.000520827038975608,0.8562942045136162,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other T Cell,gene-level signal only,1
