original_gene_id	gene	gene_symbol_mapped	effect_size	adjusted_p_value	raw_p_value	cell_type	comparison	dataset_name	timepoint	ensembl_id	source_file
IKZF2	IKZF2	IKZF2	0.749875051927245	4.91031894710743e-42	1.60462695569015e-46	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
IFITM2	IFITM2	IFITM2	-0.714985227551702	7.94451602428311e-42	2.59616222485641e-46	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
SLAMF6	SLAMF6	SLAMF6	0.327452360312072	6.35273529330682e-41	2.07598944260215e-45	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
ZNF831	ZNF831	ZNF831	0.5275408120716	1.01587666153622e-40	3.31974988247515e-45	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
TYROBP	TYROBP	TYROBP	-0.68131970065468	1.88996599075212e-40	6.17615761168627e-45	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
ANKUB1	ANKUB1	ANKUB1	0.463461577922851	5.06558521151092e-40	1.65536590683668e-44	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL5	RPL5	RPL5	-0.656862180483259	2.08726003418008e-39	6.82088831796374e-44	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
FGFBP2	FGFBP2	FGFBP2	-0.817328420095503	2.3614311341818e-39	7.71684302533186e-44	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
ARHGAP15	ARHGAP15	ARHGAP15	0.61669236220697	3.7086898075538e-39	1.21195052696114e-43	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
MT-ATP6	MT-ATP6	MT-ATP6	-0.569443277304678	4.3807899987654e-39	1.43158393476207e-43	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
ARHGEF3	ARHGEF3	ARHGEF3	0.572380484613361	6.30761451476698e-39	2.06124457199666e-43	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
TGFBR3	TGFBR3	TGFBR3	0.683365862825515	9.1129497691514e-39	2.97799083989131e-43	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
IKZF1	IKZF1	IKZF1	0.625084564505553	1.07287915222801e-38	3.50602644432539e-43	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
TRG-AS1	TRG-AS1	TRG-AS1	0.547485350752737	2.60657880775273e-38	8.51795303340652e-43	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
AHNAK	AHNAK	AHNAK	0.538816862036402	3.83178439570006e-38	1.25217620198688e-42	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
CD226	CD226	CD226	0.586489766671886	4.53719172257077e-38	1.48269393894669e-42	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
SERF2	SERF2	SERF2	-0.63455021618652	1.34612981420663e-37	4.39897328259414e-42	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
PYHIN1	PYHIN1	PYHIN1	0.627046766194636	1.79083746641745e-37	5.85221877199258e-42	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
LINC00861	LINC00861	LINC00861	0.556319744227488	1.96900677400069e-37	6.43445238391127e-42	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
CD7	CD7	CD7	-0.67442617535294	3.72498612805517e-37	1.21727594786287e-41	Natural Killer Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
